SCHCD,Rural_Urban,Medium_of_Instruction,Distance_BRC,Distance_CRC,Yeur_Estd,Pre_Pry_YN,Residential_Sch_YN,Sch_Management,Lowest_Class,Highest_Class,Sch_Category,Pre_Pry_Students,School_Type,Shift_School_YN,No_of_Working_Days,No_of_Acad_Inspection,Residential_Sch_Type,Pre_Pry_Teachers,Visits_by_BRC,Visits_by_CRC,School_Dev_Grant_Recd,School_Dev_Grant_Expnd,TLM_Grant_Recd,TLM_Grant_Expnd,Funds_from_students_Recd,Funds_from_students_Expnd
7060108702,2,4,4,3,1951,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,8500,8500,0,0
7060108901,2,4,2,2,1949,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,7500,7500,0,0
7060108902,2,4,0,0,1957,1,2,1,0,12,3,15,3,2,0,0,2,1,0,5,12000,12000,10000,9500,0,0
7060108903,2,4,2,2,1938,1,2,1,0,12,3,19,1,2,0,0,2,1,0,5,12000,12000,9500,9500,0,0
7060109101,2,4,2,2,2001,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7000,7000,7500,7500,0,0
7060109102,2,4,1,2,1962,2,2,1,6,10,7,0,2,2,0,0,2,0,0,5,7000,7000,9500,9500,0,0
7060109103,2,4,5,4,1978,1,2,1,0,12,3,21,3,2,0,0,2,1,0,5,12000,12000,17000,17000,0,0
7060109104,2,4,5,2,1950,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,3500,3500,0,0
7060109105,2,4,1,1,1963,2,2,1,1,12,3,0,3,2,0,0,2,0,0,5,12000,12000,10500,10000,0,0
7060109201,2,4,3,4,1958,2,2,1,6,8,4,0,2,2,0,0,5,0,0,5,7000,7000,7500,7500,0,0
7060109202,2,4,3,3,1957,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,8000,8000,0,0
7060109203,2,4,3,3,1956,2,2,1,6,10,7,0,1,2,0,0,2,0,0,5,7000,7000,7500,6500,0,0
7060109204,2,4,3,2,1960,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,9000,9000,0,0
7060109601,2,4,7,5,1950,1,2,1,0,12,3,7,3,2,0,0,2,1,0,5,12000,12000,9500,8500,0,0
7060114901,2,4,2,10,1960,1,2,1,0,12,3,44,3,2,0,0,2,2,0,5,12000,12000,14500,14500,0,0
7060115301,2,4,1,1,1948,2,2,1,6,8,4,0,3,2,0,0,5,0,0,5,7000,7000,4500,4500,0,0
7060115302,2,4,1,1,1960,2,2,1,6,10,7,0,2,2,0,0,2,0,0,5,7000,7000,4500,4500,0,0
7060115303,2,4,0,0,1918,1,2,1,0,12,3,31,3,2,0,0,2,1,0,5,12000,12000,16500,16500,0,0
7060115304,2,4,1,1,1960,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,4000,4000,0,0
7060207901,2,14,1,1,1994,2,2,4,6,12,5,0,1,2,0,0,2,0,0,5,7500,7500,6000,6000,0,0
7060207902,2,4,2,1,1904,2,2,4,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,5500,5500,0,0
7060208003,2,14,2,2,1948,2,2,4,1,12,5,0,3,2,0,0,2,0,0,5,7000,7000,2000,2000,0,0
7060208004,2,4,3,3,1957,2,2,4,6,12,5,0,1,2,0,0,2,0,0,5,0,0,2500,2500,0,0
7060208005,2,4,3,2,1938,2,2,4,1,12,3,0,2,2,0,0,2,0,0,5,12500,12500,6500,6500,0,0
7060208101,2,4,0,2,1962,2,2,4,6,12,5,0,2,2,0,0,2,0,0,5,0,0,1500,1500,0,0
7060208102,2,19,4,4,1948,2,2,4,0,12,3,125,3,2,0,0,2,1,0,5,0,0,7500,7500,0,0
7060208301,2,4,1,2,1967,2,2,4,1,8,2,0,1,2,0,0,5,0,0,5,12500,12500,7500,7500,0,0
7060208303,2,4,1,0,1916,2,2,4,6,10,7,0,1,2,0,0,2,0,0,5,0,0,4000,4000,0,0
7060208304,2,4,3,2,1943,2,2,4,6,8,4,0,2,2,0,0,5,0,0,5,7000,7000,3000,3000,0,0
7060208305,2,4,2,2,1961,2,2,4,1,8,2,0,3,2,0,0,5,0,0,5,12000,12000,6000,6000,0,0
7060208306,2,4,2,1,1959,2,2,4,6,12,5,0,2,2,0,0,2,0,0,5,0,0,6500,6500,0,0
7060208307,2,4,2,2,1692,2,2,4,6,12,5,0,3,2,0,0,2,0,0,5,0,0,24000,24000,0,0
7060208308,2,4,2,2,1938,2,2,4,6,12,5,0,1,2,0,0,2,0,0,5,0,0,5500,5500,0,0
7060208601,2,4,3,2,1910,2,2,4,6,12,5,0,1,2,0,0,2,0,0,5,0,0,4000,4000,0,0
7060208602,2,18,3,3,1902,2,2,4,1,10,6,0,1,2,0,0,2,0,0,5,12000,12000,4500,4500,0,0
7060208701,2,4,0,0,1929,2,2,4,1,12,3,0,3,2,0,0,2,0,0,5,12000,12000,16500,16500,0,0
7060208801,2,4,6,6,1952,2,2,4,1,12,3,0,2,2,0,0,2,0,0,5,15000,15000,21000,21000,0,0
7060208902,2,4,0,1,1933,2,2,4,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,9000,9000,0,0
7060208903,2,4,2,1,1952,2,2,4,1,12,3,0,3,2,0,0,2,0,0,5,12000,12000,4500,4500,0,0
7060208904,2,4,1,1,1967,2,2,4,6,10,7,0,1,2,0,0,2,0,0,5,0,0,1500,1500,0,0
7060208905,2,19,2,2,1934,2,2,4,6,12,5,0,2,2,0,0,2,0,0,5,0,0,11500,11500,0,0
7060208906,2,4,4,2,1928,2,2,4,1,10,6,0,1,2,0,0,2,0,0,5,12000,12000,13500,13500,0,0
7060208907,2,4,2,3,1949,2,2,4,6,12,5,0,1,2,0,0,2,0,0,5,0,0,5500,5500,0,0
7060208908,2,19,3,3,1951,2,2,4,1,12,3,0,2,2,0,0,2,0,0,5,7000,7000,6000,6000,0,0
7060209101,2,4,3,0,1950,2,2,4,1,12,3,0,2,2,0,0,2,0,0,5,12000,12000,10500,10000,0,0
7060209102,2,4,2,3,1937,2,2,4,6,12,5,0,1,2,0,0,2,0,0,5,0,0,7000,7000,0,0
7060209103,2,4,0,1,1949,2,2,4,6,12,5,0,2,2,0,0,2,0,0,5,0,0,3500,3500,0,0
7060209104,2,4,3,1,1957,2,2,4,6,8,4,0,3,2,0,0,5,0,0,5,7000,7000,2500,2500,0,0
7060209105,2,4,2,2,1948,2,2,4,6,12,5,0,2,2,0,0,2,0,0,5,7000,973,6500,4998,0,0
7060209106,2,4,0,1,1933,2,2,4,6,12,5,0,1,2,0,0,2,0,0,5,0,0,5000,5000,0,0
7060209107,2,4,1,1,1948,2,2,4,6,12,5,0,1,2,0,0,2,0,0,5,0,0,5000,5000,0,0
7060209108,2,19,4,2,1957,2,2,4,0,12,3,0,3,2,0,0,2,0,0,5,12000,12000,11500,11500,0,0
7060209201,2,4,3,2,1934,2,2,4,1,12,3,0,1,2,0,0,2,0,0,5,12000,11915,11500,11500,0,0
7060209202,2,4,3,4,1953,2,2,4,1,12,3,0,2,2,0,0,2,0,0,5,12000,12000,9500,9500,0,0
7060209203,2,4,5,3,1953,2,2,4,6,12,5,0,2,2,0,0,2,0,0,5,0,0,9500,9500,0,0
7060209204,2,4,3,3,1929,2,2,4,1,12,3,0,2,2,0,0,2,0,0,5,12000,12000,8000,8000,0,0
