SCHCD,Tch_Male,Tch_Female,Tch_NR,HeadTch,GradAbove,TchWithProf,DaysInvld,TchInvld
7010401802,11,13,0,1,8,24,0,0
7010401803,3,17,0,1,12,20,0,0
7010401804,16,4,0,1,12,20,0,0
7010401805,5,31,0,1,24,36,0,0
7010401806,18,7,0,1,14,25,0,0
7010401901,4,25,0,1,17,29,0,0
7010401902,12,8,0,1,5,20,0,0
7010401903,3,14,0,1,15,17,30,1
7010401904,8,2,0,1,6,10,0,0
7010401905,10,29,0,1,12,39,0,0
7010401906,24,6,0,1,19,30,12,1
7010401907,8,6,0,1,14,14,0,0
7010401908,14,3,0,1,6,17,0,0
7010401909,15,3,0,1,11,18,0,0
7010402001,0,26,0,1,6,26,0,0
7010402002,12,5,0,1,11,17,0,0
7010402003,7,6,0,0,7,13,0,0
7010402004,1,27,0,1,28,28,0,0
7010402005,11,10,0,1,21,21,0,0
7010402006,1,14,0,1,13,15,0,0
7010402101,1,29,0,1,20,30,0,0
7010402102,2,24,0,1,23,26,0,0
7010402103,0,14,0,1,14,14,0,0
7010402104,2,16,0,1,16,18,0,0
